2022-02-13 09:42:53,466 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-13 09:42:53,470 | MainThread   | [INFO    ] | <module>            |: info
2022-02-13 09:42:53,475 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-13 09:42:53,479 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-13 09:42:53,482 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-13 09:48:36,795 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=2, releaselevel='final', serial=0)
2022-02-13 09:48:36,797 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19042-SP0
2022-02-13 09:48:36,799 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:07:C0:8D:24:44
2022-02-13 09:48:41,277 | MainThread   | [INFO    ] | _connect            |: Connected to C0:07:C0:8D:24:44
2022-02-13 09:49:15,757 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:07:C0:8D:24:44
2022-02-13 10:02:04,303 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:07:C0:8D:24:44
2022-02-13 10:02:08,994 | MainThread   | [INFO    ] | _connect            |: Connected to C0:07:C0:8D:24:44
2022-02-13 10:09:21,845 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:07:C0:8D:24:44
2022-02-13 10:11:02,818 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:07:C0:8D:24:44
2022-02-13 10:11:07,441 | MainThread   | [INFO    ] | _connect            |: Connected to C0:07:C0:8D:24:44
2022-02-13 10:12:47,039 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:07:C0:8D:24:44
2022-02-13 10:21:45,035 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:07:C0:8D:24:44
2022-02-13 10:21:49,093 | MainThread   | [INFO    ] | _connect            |: Connected to C0:07:C0:8D:24:44
2022-02-13 10:53:17,123 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:07:C0:8D:24:44
2022-02-13 10:53:25,593 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:07:C0:8D:24:44
2022-02-13 10:53:30,390 | MainThread   | [INFO    ] | _connect            |: Connected to C0:07:C0:8D:24:44
2022-02-13 10:57:48,427 | MainThread   | [INFO    ] | float_receive_cb    |: Received new float value from Arty: 252.5
2022-02-13 10:57:48,437 | MainThread   | [INFO    ] | float_receive_cb    |: Received new float value from Arty: 253.0
2022-02-13 10:57:48,447 | MainThread   | [INFO    ] | float_receive_cb    |: Received new float value from Arty: 253.5
2022-02-13 10:57:48,456 | MainThread   | [INFO    ] | float_receive_cb    |: Received new float value from Arty: 254.0
2022-02-13 10:57:48,466 | MainThread   | [INFO    ] | float_receive_cb    |: Received new float value from Arty: 254.5
2022-02-13 10:57:48,471 | MainThread   | [INFO    ] | float_receive_cb    |: Received new float value from Arty: 255.0
